metric,label,mean,median,std
label_correlation,false,0.242,0.33,0.1484262268859052
label_correlation,half_true,0.8189999999999995,0.83,0.06024948132556827
label_correlation,mostly_false,0.8079999999999996,0.83,0.08372368346181258
label_correlation,mostly_true,0.7030000000000004,0.67,0.10069243028769032
label_correlation,pof,0.165,0.165,0.16782071714615063
label_correlation,true,0.7690000000000002,0.67,0.15381022790080168
layman_xai_truthfulness,false,0.8383333333333333,0.86,0.13519037237025866
layman_xai_truthfulness,half_true,0.8766666666666666,0.86,0.11801032489409219
layman_xai_truthfulness,mostly_false,0.8673333333333333,0.86,0.15019374460855628
layman_xai_truthfulness,mostly_true,0.8713333333333332,0.86,0.12770476008014126
layman_xai_truthfulness,pof,0.8283333333333334,0.86,0.13883960811529686
layman_xai_truthfulness,true,0.8376666666666667,0.86,0.15906371166239047
short_assessment_truthfulness,false,0.5666666666666667,1.0,0.5040069329937308
short_assessment_truthfulness,half_true,0.5333333333333333,1.0,0.5074162634049248
short_assessment_truthfulness,mostly_false,0.7333333333333333,1.0,0.4497764451088037
short_assessment_truthfulness,mostly_true,0.7333333333333333,1.0,0.4497764451088037
short_assessment_truthfulness,pof,0.8333333333333334,1.0,0.3790490217894517
short_assessment_truthfulness,true,0.7,1.0,0.466091599699399
technical_assessment_clarity,false,0.7666666666666667,1.0,0.43018306715207627
technical_assessment_clarity,half_true,0.7333333333333333,1.0,0.4497764451088037
technical_assessment_clarity,mostly_false,0.7666666666666667,1.0,0.4301830671520763
technical_assessment_clarity,mostly_true,0.8,1.0,0.4068381021724863
technical_assessment_clarity,pof,0.9,1.0,0.30512857662936466
technical_assessment_clarity,true,0.8,1.0,0.4068381021724863
technical_xai_clarity,false,0.6376666666666666,0.6399999999999999,0.20119784967201734
technical_xai_clarity,half_true,0.6663333333333334,0.71,0.16526850323313136
technical_xai_clarity,mostly_false,0.6473333333333332,0.71,0.1708181798717942
technical_xai_clarity,mostly_true,0.5996666666666666,0.57,0.2030030292509387
technical_xai_clarity,pof,0.6846666666666666,0.71,0.17752577925149512
technical_xai_clarity,true,0.651,0.6399999999999999,0.14370347822920784
xai_description_truthfulness,false,0.6276666666666666,0.57,0.169495871851537
xai_description_truthfulness,half_true,0.6513333333333333,0.71,0.17421218400981967
xai_description_truthfulness,mostly_false,0.5756666666666665,0.57,0.1797830749069236
xai_description_truthfulness,mostly_true,0.5803333333333334,0.57,0.19726550169991594
xai_description_truthfulness,pof,0.6763333333333333,0.71,0.19829416207403502
xai_description_truthfulness,true,0.6276666666666666,0.57,0.16132390492066134
