case_type,cause_type,cause,count,percentage
model_wrong_llm_trusts,primary,explanation_framing,19,67.85714285714286
model_wrong_llm_trusts,primary,performance_baseline,1,3.571428571428571
model_wrong_llm_trusts,primary,overgeneralization_from_dataset_statistics,1,3.571428571428571
model_wrong_llm_trusts,primary,meta_performance_overweighting,6,21.428571428571427
model_wrong_llm_trusts,primary,content_model_confusion,1,3.571428571428571
model_wrong_llm_trusts,secondary,feature_interpretation_bias,25,89.28571428571429
model_wrong_llm_trusts,secondary,overgeneralization_from_dataset_statistics,14,50.0
model_wrong_llm_trusts,secondary,performance_baseline,8,28.57142857142857
model_wrong_llm_trusts,secondary,explanation_framing,9,32.142857142857146
model_wrong_llm_trusts,secondary,content_model_confusion,14,50.0
model_wrong_llm_trusts,secondary,meta_performance_overweighting,11,39.285714285714285
model_wrong_llm_trusts,secondary,label_trust_mismatch,1,3.571428571428571
model_right_llm_distrusts,primary,meta_performance_overweighting,6,75.0
model_right_llm_distrusts,primary,explanation_framing,2,25.0
model_right_llm_distrusts,secondary,content_model_confusion,5,62.5
model_right_llm_distrusts,secondary,explanation_framing,6,75.0
model_right_llm_distrusts,secondary,feature_interpretation_bias,6,75.0
model_right_llm_distrusts,secondary,performance_baseline,1,12.5
model_right_llm_distrusts,secondary,meta_performance_overweighting,2,25.0
model_right_llm_distrusts,secondary,overgeneralization_from_dataset_statistics,1,12.5
