experiment_key,label,experiment_id,case_type,explanation,reference,associated_divergence_type,ground_truth_label,predicted_label,trustscore
pof_exp_22,pof,22,model_wrong_llm_trusts,"Summary frames prediction as 'consistent with a moderate, low-risk profile', reinforcing trust.",feature distribution summary (label: True): 'prediction of True is consistent with...',explanation_framing,0,2,2
pof_exp_23,pof,23,model_wrong_llm_trusts,XAI summary asserts the claim is 'likely true' and highlights strong factors,individual feature importance – layman’s summary,explanation_framing,0,2,3
pof_exp_24,pof,24,model_wrong_llm_trusts,Explanations framed output as 'consistent' and 'made the model more confident.',feature importance summaries and distribution layman's summaries,explanation_framing,0,2,2
pof_exp_25,pof,25,model_wrong_llm_trusts,Feature distribution text asserts 'model prediction is True' and 'supports outcome',feature distribution (label: True) -> summary,explanation_framing,0,2,2
false_exp_21,false,21,model_wrong_llm_trusts,"Layman summary asserts 'likely true' and 'well-sourced', boosting perceived reliability",individual feature importance: laymans_summary,explanation_framing,0,2,2
false_exp_21,false,21,model_wrong_llm_trusts,Feature distribution summary claims it 'supports' the model's prediction,feature distribution: summary,explanation_framing,0,2,2
false_exp_21,false,21,model_wrong_llm_trusts,Metrics report accuracy 0.65/F1 0.648 yet framed as 'reasonably effective'.,performance metrics laymans_summary,explanation_framing,0,2,2
false_exp_21,false,21,model_wrong_llm_trusts,IFI flags 'absolute certainty' as red flag despite SHAP -0.0998 for it.,individual feature importance summary,explanation_framing,0,2,2
false_exp_22,false,22,model_wrong_llm_trusts,Confusion matrix text claims 'strong performance' despite 0.65 accuracy.,confusion matrix laymans_summary,explanation_framing,0,2,2
false_exp_22,false,22,model_wrong_llm_trusts,"Summary frames content as 'balanced' and 'mostly neutral,' encouraging high trust.",feature distribution laymans_summary,explanation_framing,0,2,2
false_exp_23,false,23,model_wrong_llm_trusts,Confusion matrix framed 65% TPR for 'True' as supportive of this prediction,"confusion matrix: ""true positive rate of 65%""",explanation_framing,0,2,2
false_exp_23,false,23,model_wrong_llm_trusts,Layman summaries conflict (emotionality 0.0 vs 'high') yet assert support,IFI layman: emotionality 0.0 vs feature distrib layman: emotionality high,explanation_framing,0,2,2
